Profundidade máxima;Tempo médio de treino;Acurácia média de teste;Pontuação F1 média de teste;Pontuação final
1.0;0.06710026264190674;0.5273105745212323;0.6905086391686069;0.6089096068449196
2.0;0.15240223407745362;0.5278934221482098;0.6886780073595645;0.6082857147538872
3.0;0.18150522708892822;0.533263946711074;0.6844948006069409;0.6088793736590075
4.0;0.22468299865722657;0.5385650846516792;0.6799720015647805;0.6092685431082299
5.0;0.21019749641418456;0.5406605606439079;0.6753890121078564;0.6080247863758821
6.0;0.23669736385345458;0.543616430752151;0.6712853264983905;0.6074508786252708
7.0;0.28380231857299804;0.5453094643352762;0.6656700656544845;0.6054897649948803
8.0;0.32560365200042723;0.5472522897585346;0.6601070464607891;0.6036796681096619
9.0;0.32721376419067383;0.5476547321676382;0.6554363295354307;0.6015455308515345
10.0;0.3592937231063843;0.5480432972522898;0.652691017544098;0.6003671573981939
11.0;0.356701922416687;0.5474604496253123;0.6481791794709764;0.5978198145481444
12.0;0.40564689636230467;0.5480432972522898;0.6446169638955929;0.5963301305739414
13.0;0.41890170574188235;0.5489036913683042;0.6395055420870696;0.5942046167276869
14.0;0.41480183601379395;0.550721620871496;0.6297556309375244;0.5902386259045103
15.0;0.40209887027740476;0.5527199555925618;0.6252790855629735;0.5889995205777676
16.0;0.4183967590332031;0.5523452678323619;0.6196239079794787;0.5859845879059203
17.0;0.4700573205947876;0.5526644462947543;0.6200670254371148;0.5863657358659345
18.0;0.44726898670196535;0.5533999444907022;0.6159065070931985;0.5846532257919503
19.0;0.4585580825805664;0.5537052456286429;0.6147128119951801;0.5842090288119115
20.0;0.4299630641937256;0.5550929780738274;0.612728208391026;0.5839105932324267
