Algoritmo;;DT;DT;DT;DT;DT;DT;MLP;MLP;MLP;MLP;MLP;MLP
Medida;;Matriz de confusão;Sensibilidade;Especificidade;Confiabilidade positiva;Confiabilidade negativa;Acurácia;Matriz de confusão;Sensibilidade;Especificidade;Confiabilidade positiva;Confiabilidade negativa;Acurácia
Base;Execução;;;;;;;;;;;;
Base de treino;0;[[1846 32216], [1331 36667]];0.9649718406231907;0.054195290940050496;0.5323084070089863;0.5810513062637709;0.5344573966139329;[[11109 22953], [9268 28730]];0.7560924259171535;0.32614056720098644;0.5558887835458468;0.5451734799038132;0.5528587288370802
Base de treino;1;[[1798 32264], [1283 36715]];0.9662350650034213;0.052786095942692735;0.5322634424969919;0.5835767607919506;0.5344573966139329;[[11481 22581], [9625 28373]];0.7466971945891889;0.3370618284305091;0.556835577187267;0.5439685397517293;0.5530668887038579
Base de treino;2;[[1942 32120], [1458 36540]];0.9616295594504974;0.05701368093476601;0.5321875910282552;0.5711764705882353;0.5340271995559256;[[10664 23398], [8882 29116]];0.7662508553081742;0.31307615524631555;0.5544426248238565;0.5455847743783895;0.5520399666944213
Base de treino;3;[[2201 31861], [1733 36265]];0.95439233643876;0.06461746227467559;0.5323224613216687;0.5594814438230808;0.5338051623646961;[[11010 23052], [9174 28824]];0.7585662403284383;0.3232341025189361;0.5556326625028916;0.5454815695600476;0.552789342214821
Base de treino;4;[[1942 32120], [1481 36517]];0.9610242644349702;0.05701368093476601;0.5320308288532424;0.5673385918784691;0.5337080210935332;[[11367 22695], [9563 28435]];0.7483288594136533;0.3337149903117844;0.556131429689028;0.5430960344003822;0.5523452678323619
Base de treino;5;[[ 658 33404], [ 630 37368]];0.9834201800094742;0.019317714755445952;0.5280054258746397;0.5108695652173914;0.527699139605884;[[10944 23118], [9264 28734]];0.7561976946155061;0.3212964593975691;0.5541541309881972;0.5415676959619953;0.550624479600333
Base de treino;6;[[2222 31840], [1718 36280]];0.954787094057582;0.06523398508601962;0.5325895478567234;0.5639593908629441;0.5343047460449626;[[10982 23080], [9202 28796]];0.7578293594399705;0.3224120721038107;0.5550929138715398;0.5440943321442727;0.5520122120455176
Base de treino;7;[[ 668 33394], [ 627 37371]];0.9834991315332386;0.01961129704656215;0.5281000494594785;0.5158301158301158;0.527879544823758;[[10942 23120], [9097 28901]];0.7605926627717249;0.32123774293934587;0.5555640991138194;0.546035231298967;0.5529142381348876
Base de treino;8;[[1958 32104], [1430 36568]];0.9623664403389652;0.05748341260055193;0.532502329916123;0.577922077922078;0.5346378018318069;[[11031 23031], [9260 28738]];0.7563029633138586;0.3238506253302801;0.5551198593753018;0.5436400374550293;0.551887316125451
Base de treino;9;[[1928 32134], [1490 36508]];0.960787409863677;0.056602665727203336;0.5318609597622447;0.564072557050907;0.5333888426311407;[[11001 23061], [9337 28661]];0.7542765408705722;0.3229698784569315;0.5541355709369321;0.5409086439177894;0.5504024424091035
Base de teste;0;[[ 753 13845], [ 607 15679]];0.9627287240574727;0.05158240854911632;0.531059477035632;0.5536764705882353;0.532055433234037;[[4645  9953], [3926 12360]];0.7589340537885301;0.31819427318810795;0.5539371666741362;0.5419437638548594;0.5506087294391918
Base de teste;1;[[ 701 13897], [ 575 15711]];0.9646936018666339;0.04802027675023976;0.5306336125371521;0.549373040752351;0.5314078487242585;[[4763  9835], [4048 12238]];0.7514429571411028;0.326277572270174;0.5544330177139492;0.5405742821473158;0.5504792125372361
Base de teste;2;[[ 795 13803], [ 608 15678]];0.9626673216259364;0.05445951500205508;0.5318001424646382;0.5666429080541696;0.533382981479083;[[4586 10012], [3855 12431]];0.7632936264276066;0.31415262364707497;0.5538920821637036;0.5433005568060656;0.5509972801450589
Base de teste;3;[[ 892 13706], [ 736 15550]];0.9548078103892914;0.061104260857651735;0.5315149029258955;0.547911547911548;0.5323792254889264;[[4705  9893], [3984 12302]];0.7553727127594253;0.32230442526373476;0.5542689794998874;0.54148923926804;0.5506734878901697
Base de teste;4;[[ 825 13773], [ 630 15656]];0.961316468132138;0.05651459103986847;0.5319922525400116;0.5670103092783505;0.5336420152829944;[[4928  9670], [4192 12094]];0.7426010069998772;0.3375804904781477;0.5556882925932733;0.5403508771929825;0.5511591762725035
Base de teste;5;[[ 272 14326], [ 267 16019]];0.9836055507798109;0.01863268940950815;0.5278958642280441;0.5046382189239332;0.5274899624400984;[[4721  9877], [3854 12432]];0.7633550288591429;0.32340046581723525;0.5572638845309068;0.5505539358600583;0.5554008548115529
Base de teste;6;[[ 876 13722], [ 770 15516]];0.9527201277170576;0.060008220304151254;0.5306792530268828;0.5321992709599028;0.53076026421448;[[4720  9878], [3937 12349]];0.7582586270416308;0.32333196328264147;0.555585549106942;0.5452235185399099;0.5526809998704831
Base de teste;7;[[ 262 14336], [ 270 16016]];0.983421343485202;0.017947664063570352;0.5276752767527675;0.4924812030075188;0.5270690325087424;[[4667  9931], [3997 12289]];0.7545744811494535;0.31970132894917114;0.5530603060306031;0.5386657433056325;0.5490221473902345
Base de teste;8;[[ 800 13798], [ 658 15628]];0.959597200049122;0.05480202767502398;0.5310949500441786;0.5486968449931413;0.5319259163320813;[[4716  9882], [3927 12359]];0.7588726513569938;0.32305795314426633;0.5556854457983005;0.5456438736549809;0.5528752752234166
